영구번호,화장실명,위도,경도,좌표정확도,좌표출처,카카오장소ID,카카오장소명,이름유사도,사유
WC019801,하남유니온타워 1층,37.5472291917696,127.220392092258,A,kakao_place_bldg,24268429,하남유니온타워,1.0,"캠퍼스·단지 건물 좌표(구분어 하남유니온타워, 묶음 좌표에서 76m)"
WC019502,하남유니온타워 3층,37.5472291917696,127.220392092258,A,kakao_place_bldg,24268429,하남유니온타워,1.0,"캠퍼스·단지 건물 좌표(구분어 하남유니온타워, 묶음 좌표에서 76m)"
WC019501,하남유니온타워 1층,37.5472291917696,127.220392092258,A,kakao_place_bldg,24268429,하남유니온타워,1.0,"캠퍼스·단지 건물 좌표(구분어 하남유니온타워, 묶음 좌표에서 76m)"
WC002138,상상나라화장실,37.5508665042994,127.077592558039,A,kakao_place_bldg,1612238355,서울상상나라,0.8,"캠퍼스·단지 건물 좌표(구분어 상상나라, 묶음 좌표에서 164m)"
WC002137,꿈마루화장실,37.5492931396026,127.07928272923,A,kakao_place_bldg,17558625,어린이대공원 꿈마루,0.5,"캠퍼스·단지 건물 좌표(구분어 꿈마루, 묶음 좌표에서 306m)"
WC002136,열대동물관화장실,37.5493455454712,127.081709023119,A,kakao_place_bldg,17562625,서울어린이대공원 열대동물관,0.56,"캠퍼스·단지 건물 좌표(구분어 열대동물관, 묶음 좌표에서 394m)"
WC002135,정문화장실,37.5490787247531,127.076516781246,A,kakao_place_bldg,26334768,서울어린이대공원 정문 개방화장실,0.24,"캠퍼스·단지 건물 좌표(구분어 정문, 묶음 좌표에서 382m)"
WC002134,식물원화장실,37.5486396093988,127.081060959963,A,kakao_place_bldg,7993544,서울어린이대공원 식물원,0.43,"캠퍼스·단지 건물 좌표(구분어 식물원, 묶음 좌표에서 426m)"
WC002133,후문화장실,37.549451325836,127.085022588164,A,kakao_place_bldg,26335849,후문 개방화장실,0.44,"캠퍼스·단지 건물 좌표(구분어 후문, 묶음 좌표에서 620m)"
WC002131,동물원화장실,37.5482386958136,127.082318892024,A,kakao_place_bldg,17556470,서울어린이대공원 동물원,0.43,"캠퍼스·단지 건물 좌표(구분어 동물원, 묶음 좌표에서 523m)"
