영구번호,화장실명,종류,조치,위도,경도,등급,장소명,장소ID,근거
WC040193,검단(서울)졸음쉼터,좌표없음,place,35.9158527317346,128.615295059654,확인,검단졸음쉼터 서울방향,27324890,"화장실명""검단(서울)졸음쉼터"" — 카카오·네이버가 같은 시설로 확인(18m 차이)"
WC053491,창평 슬로시티내,좌표없음,place,35.23529770972032,127.01790695649296,확인,담양창평슬로시티,1084569264,"화장실명""창평 슬로시티내"" — 카카오·네이버가 같은 시설로 확인(6m 차이)"
WC053439,고가제1,좌표없음,place,35.31531230160089,126.94932403627277,확인,고가제,10169497,"화장실명""고가제1"" — 카카오·네이버가 같은 시설로 확인(23m 차이)"
WC040038,암남공원 입구,좌표없음,place,35.0599107,129.0162416,추정,암남공원,,"화장실명""암남공원 입구"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC047344,부소담악 화장실 2,좌표없음,place,36.350867220179765,127.56521036772048,확인,부소담악,1677448602,"화장실명""부소담악 화장실 2"" — 카카오·네이버가 같은 시설로 확인(75m 차이)"
WC023591,옥천공설시장 공영주차장,좌표없음,place,36.303365604278405,127.56824755663693,확인,옥천공설시장 공영주차장,26607740,"화장실명""옥천공설시장 공영주차장"" — 카카오·네이버가 같은 시설로 확인(6m 차이)"
WC025719,장곡주차장(장승공원),좌표없음,place,36.4084178,126.851123,추정,장곡주차장,,"화장실명""장곡주차장(장승공원)"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC006319,모덕사,좌표없음,place,36.4462357482508,127.007656185593,확인,모덕사,7867367,"화장실명""모덕사"" — 카카오·네이버가 같은 시설로 확인(17m 차이)"
WC043818,구봉공원(해솔길 입구) 화장실,좌표없음,place,37.2846744,126.539918,추정,구봉공원,,"화장실명""구봉공원(해솔길 입구) 화장실"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC019169,늘을중앙공원(지상1층)[호평-7],좌표없음,place,37.65907693815251,127.24465765172785,확인,늘을중앙공원,1994169733,"화장실명""늘을중앙공원(지상1층)[호평-7]"" — 카카오·네이버가 같은 시설로 확인(16m 차이)"
WC019168,늘을중앙공원(지하1층)[호평-8],좌표없음,place,37.65907693815251,127.24465765172785,확인,늘을중앙공원,1994169733,"화장실명""늘을중앙공원(지하1층)[호평-8]"" — 카카오·네이버가 같은 시설로 확인(16m 차이)"
WC019108,수동멀티스포츠센터,좌표없음,place,37.710301732766006,127.32329075287566,확인,수동멀티스포츠센터,1432961539,"화장실명""수동멀티스포츠센터"" — 카카오·네이버가 같은 시설로 확인(17m 차이)"
WC019068,왕숙천공원-3(토평교)[지금-7],좌표없음,place,37.6040498,127.1498989,추정,(왕숙교밑족구장)왕숙천공원개방화장실,,"화장실명""왕숙천공원-3(토평교)[지금-7]"" — 네이버에서만 찾음(이름 유사 0.91) — 정확하지 않을 수 있음"
WC019057,사릉역,좌표없음,place,37.65112427884554,127.17692620365439,확인,사릉역 경춘선,25038390,"화장실명""사릉역"" — 카카오·네이버가 같은 시설로 확인(7m 차이)"
WC019001,모란공원 입구[월산-1],좌표없음,place,37.64783807112223,127.32063570440809,확인,모란공원묘지,9770683,"화장실명""모란공원 입구[월산-1]"" — 카카오·네이버가 같은 시설로 확인(3m 차이)"
WC018901,뱅이다리[퇴계원-1],좌표없음,place,37.6627031,127.1485665,추정,퇴계원뱅이다리개방화장실,,"화장실명""뱅이다리[퇴계원-1]"" — 네이버에서만 찾음(이름 유사 0.73) — 정확하지 않을 수 있음"
WC043769,노적봉공원 화장실,좌표없음,place,37.3168786,126.8551869,추정,노적봉공원 화장실,,"화장실명""노적봉공원 화장실"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC012052,대흥주유소,좌표없음,place,35.1648257,129.0318268,추정,S-OIL 대흥주유소,,"화장실명""대흥주유소"" — 네이버에서만 찾음(이름 유사 0.67) — 정확하지 않을 수 있음"
WC002860,학장공단우편취급국,좌표없음,place,35.14360620342482,128.98441006288235,확인,부산학장공단 우편취급국,10862969,"화장실명""학장공단우편취급국"" — 카카오·네이버가 같은 시설로 확인(13m 차이)"
WC002850,주례1치안센터,좌표없음,place,35.15122471560908,129.0009547777753,확인,주례1치안센터,8092380,"화장실명""주례1치안센터"" — 카카오·네이버가 같은 시설로 확인(9m 차이)"
WC053143,구두공원,좌표없음,place,35.3097595666725,129.00256820756,추정,구두공원,146830963,"화장실명""구두공원"" — 카카오에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC012348,상수도사업본부 동래통합사업소,좌표없음,place,35.2090230848614,129.104198096441,확인,부산광역시 상수도사업본부 동래통합사업소,17543072,"화장실명""상수도사업본부 동래통합사업소"" — 카카오·네이버가 같은 시설로 확인(2m 차이)"
WC053121,내송가람공원,좌표없음,place,35.3136562416804,129.07143693265,확인,내송가람공원,1238372514,"화장실명""내송가람공원"" — 카카오·네이버가 같은 시설로 확인(9m 차이)"
WC018144,고래의 모험,좌표없음,place,37.2527807,127.0089691,추정,고래의모험어린이공원,,"화장실명""고래의 모험"" — 네이버에서만 찾음(이름 유사 0.67) — 정확하지 않을 수 있음"
WC018020,맹꽁이,좌표없음,place,37.3022596,127.003704,추정,맹꽁이전자담배,,"화장실명""맹꽁이"" — 네이버에서만 찾음(이름 유사 0.60) — 정확하지 않을 수 있음"
WC017960,서호꽃뫼(2),좌표없음,place,37.2839474,126.9881938,추정,서호꽃뫼공원,,"화장실명""서호꽃뫼(2)"" — 네이버에서만 찾음(이름 유사 0.80) — 정확하지 않을 수 있음"
WC017838,영화동공영주차장,좌표없음,place,37.2928805,127.0139158,추정,영화동공영주차장,,"화장실명""영화동공영주차장"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC053089,일운체육공원,좌표없음,place,34.82242273641255,128.70613757679584,확인,일운체육공원,573524219,"화장실명""일운체육공원"" — 카카오·네이버가 같은 시설로 확인(3m 차이)"
WC052068,빛뜰문화공원 화장실,좌표없음,place,37.7212111344905,127.106579857134,확인,빛뜰문화공원,224728230,"화장실명""빛뜰문화공원 화장실"" — 카카오·네이버가 같은 시설로 확인(7m 차이)"
WC007825,관음사 입구,좌표없음,place,35.2688833,128.612075,추정,관음사,,"화장실명""관음사 입구"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC007810,길상사입구,좌표없음,place,35.2432998,128.7034889,추정,길상사,,"화장실명""길상사입구"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC008019,명서공원화장실,좌표없음,place,35.2413756,128.6397707,추정,명서공원,,"화장실명""명서공원화장실"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC007797,팔룡공원(팔용터널 위),좌표없음,place,35.2451716,128.6106848,추정,팔용근린공원,,"화장실명""팔룡공원(팔용터널 위)"" — 네이버에서만 찾음(이름 유사 0.75) — 정확하지 않을 수 있음"
WC007681,감천제일교회 앞,좌표없음,place,35.203118,128.5105249,추정,감천제일교회,,"화장실명""감천제일교회 앞"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
